Year Type,Year,Organization Group Code,Organization Group,Department Code,Department,Union Code,Union,Job Family Code,Job Family,Job Code,Job,Employee Identifier,Salaries,Overtime,Other Salaries,Total Salary,Retirement,Health/Dental,Other Benefits,Total Benefits,Total Compensation
Calendar,2015,6,General Administration & Finance,CPC,City Planning,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",5200,Professional Engineering,5291,Planner 3,50025,83495.48,0.0,0.0,83495.48,5308.31,9821.63,6672.48,21802.42,105297.9
Calendar,2015,1,Public Protection,CRT,Superior Court,792.0,"SEIU - Court Employees, Local 1021",SCRT,SF Superior Court,430C,Deputy Court Clerk III,44907,86021.98,0.0,3607.93,89629.91,17901.33,12104.52,7377.78,37383.63,127013.54
Calendar,2015,1,Public Protection,POL,Police,911.0,Police Officers' Association,Q000,Police Services,Q060,Lieutenant (Police Department),18409,23262.81,780.3,708.79,24751.9,4210.27,1911.46,416.81,6538.54,31290.44
Calendar,2015,1,Public Protection,FIR,Fire Department,798.0,"Firefighters - Miscellaneous, Local 798",H000,Fire Services,H002,Firefighter,18060,113233.59,9825.08,18621.53,141680.2,25036.02,15196.12,2359.15,42591.29,184271.49
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790.0,"SEIU - Miscellaneous, Local 1021",9100,Street Transit,9126,Transit Traffic Checker,1519,68700.6,4013.87,1690.82,74405.29,14521.67,12328.92,5899.61,32750.2,107155.49
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790.0,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8201,School Crossing Guard,51517,2490.69,0.0,0.0,2490.69,0.0,896.0,203.93,1099.93,3590.62
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253.0,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,3246,66797.96,4622.46,1607.01,73027.43,15591.7,13166.51,5360.93,34119.14,107146.57
Calendar,2015,1,Public Protection,POL,Police,911.0,Police Officers' Association,Q000,Police Services,Q002,Police Officer,34050,22932.6,0.0,0.0,22932.6,5031.41,3536.21,1737.3,10304.92,33237.52
Calendar,2015,5,Culture & Recreation,LIB,Public Library,39.0,"Stationary Engineers, Local 39",7200,Supervisory-Labor & Trade,7205,Chief Stationary Engineer,40336,109699.6,9931.24,13045.27,132676.11,22605.99,12424.5,9959.41,44989.9,177666.01
Calendar,2015,5,Culture & Recreation,REC,Recreation and Park Commission,790.0,"SEIU - Miscellaneous, Local 1021",3200,Recreation,3279,Recreation Leader,4655,92.44,0.0,0.0,92.44,0.0,29.87,7.32,37.19,129.63
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253.0,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,8779,68428.9,22375.32,6143.43,96947.65,20390.86,13482.68,7178.46,41052.0,137999.65
Calendar,2015,4,Community Health,DPH,Public Health,250.0,"SEIU - Health Workers, Local 1021",2700,Housekeeping & Laundry,2736,Porter,36636,11664.2,0.0,1157.02,12821.22,2695.01,3058.33,1025.14,6778.48,19599.7
Calendar,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,22.0,"Prof & Tech Engineers - Personnel, Local 21",1200,Personnel,1241,Personnel Analyst,11710,72109.2,0.0,0.0,72109.2,14851.32,12424.5,5802.75,33078.57,105187.77
Calendar,2015,1,Public Protection,ECD,Department of Emergency Management,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",8600,Emergency Services,8600,Emergency Services Assistant,26974,1039.5,0.0,0.0,1039.5,0.0,238.93,80.74,319.67,1359.17
Calendar,2015,1,Public Protection,POL,Police,911.0,Police Officers' Association,Q000,Police Services,Q003,Police Officer 2,52570,117140.93,25979.3,18603.95,161724.18,23164.17,12424.5,2701.77,38290.44,200014.62
Calendar,2015,2,"Public Works, Transportation & Commerce",HHP,PUC Hetch Hetchy,250.0,"SEIU - Health Workers, Local 1021",2700,Housekeeping & Laundry,2706,Housekeeper/Food Service Clnr,26726,48966.99,3117.74,822.71,52907.44,11883.03,12245.3,4329.41,28457.74,81365.18
Calendar,2015,4,Community Health,DPH,Public Health,250.0,"SEIU - Health Workers, Local 1021",7500,Semi-Skilled & General Labor,7524,Institution Utility Worker,519,53973.01,3294.49,624.0,57891.5,13095.25,12424.5,4736.08,30255.83,88147.33
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",5300,Sub-Professional Engineering,5320,Illustrator And Art Designer,16998,30075.4,0.0,0.0,30075.4,5597.05,4444.15,2451.12,12492.32,42567.72
Calendar,2015,2,"Public Works, Transportation & Commerce",PUC,PUC Public Utilities Commission,790.0,"SEIU - Miscellaneous, Local 1021",9900,Public Service Aide,9922,PS Aide To Prof,25886,14987.22,0.0,0.0,14987.22,3295.69,4462.07,1161.22,8918.98,23906.2
Calendar,2015,1,Public Protection,SHF,Sheriff,499.0,Sheriff's Managers and Supervisors Association,8300,Correction & Detention,8308,Sheriff's Sergeant,26220,119066.0,16110.78,20510.3,155687.08,33752.13,12424.5,2653.62,48830.25,204517.33
Calendar,2015,5,Culture & Recreation,REC,Recreation and Park Commission,790.0,"SEIU - Miscellaneous, Local 1021",3200,Recreation,3279,Recreation Leader,52876,8194.64,0.0,13.61,8208.25,0.0,2714.38,636.75,3351.13,11559.38
Calendar,2015,4,Community Health,DPH,Public Health,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",2800,Public Health,2846,Nutritionist,8405,46717.78,0.0,1000.0,47717.78,9825.59,6182.37,3642.23,19650.19,67367.97
Calendar,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,790.0,"SEIU - Miscellaneous, Local 1021",1200,Personnel,1204,Senior Personnel Clerk,11910,17773.0,0.0,0.0,17773.0,3986.5,3345.06,1452.6,8784.16,26557.16
Calendar,2015,4,Community Health,DPH,Public Health,791.0,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,P103,Special Nurse,14404,13725.0,0.0,918.9,14643.9,0.0,1098.49,1135.2,2233.69,16877.59
Calendar,2015,2,"Public Works, Transportation & Commerce",ECN,Economic and Workforce Development,535.0,"SEIU - Human Services, Local 1021",9700,Community Development,9704,Employment & Training Spec 3,3926,83132.38,0.0,0.0,83132.38,17123.45,12339.85,6514.97,35978.27,119110.65
Calendar,2015,5,Culture & Recreation,REC,Recreation and Park Commission,790.0,"SEIU - Miscellaneous, Local 1021",9900,Public Service Aide,9910,Public Service Trainee,42681,2805.25,0.0,0.0,2805.25,0.0,1367.89,217.51,1585.4,4390.65
Calendar,2015,2,"Public Works, Transportation & Commerce",WTR,PUC Water Department,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",5600,Energy & Environment,5602,Utility Specialist,32452,26751.8,0.0,642.58,27394.38,6000.44,3133.0,2066.89,11200.33,38594.71
Calendar,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,790.0,"SEIU - Miscellaneous, Local 1021",2700,Housekeeping & Laundry,2718,Custodial Supervisor,48572,68571.01,0.0,1991.25,70562.26,14142.77,12424.5,5552.01,32119.28,102681.54
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",1600,"Payroll, Billing & Accounting",1657,Accountant IV,7843,95816.0,0.0,0.0,95816.0,19274.89,10990.9,7504.79,37770.58,133586.58
Calendar,2015,1,Public Protection,POL,Police,911.0,Police Officers' Association,Q000,Police Services,Q002,Police Officer,11759,100112.94,3422.84,10370.22,113906.0,20795.02,12424.5,1854.05,35073.57,148979.57
Calendar,2015,1,Public Protection,ECD,Department of Emergency Management,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",1000,Information Systems,1093,IT Operations Support Admn III,18644,87117.8,0.0,4334.21,91452.01,18893.64,12424.5,7363.81,38681.95,130133.96
Calendar,2015,1,Public Protection,POL,Police,790.0,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8274,Police Cadet,1716,12468.03,0.0,0.0,12468.03,0.0,4632.31,966.7,5599.01,18067.04
Calendar,2015,4,Community Health,DPH,Public Health,790.0,"SEIU - Miscellaneous, Local 1021",1600,"Payroll, Billing & Accounting",1635,Health Care Billing Clerk 1,18324,56873.0,4058.93,0.0,60931.93,12703.28,12424.5,4940.86,30068.64,91000.57
Calendar,2015,4,Community Health,DPH,Public Health,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",1600,"Payroll, Billing & Accounting",1652,Accountant II,21895,81116.01,0.0,0.0,81116.01,16718.52,12424.5,6661.66,35804.68,116920.69
Calendar,2015,4,Community Health,DPH,Public Health,791.0,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,2320,Registered Nurse,26978,130301.42,256.46,29186.29,159744.17,30065.21,10863.38,9962.84,50891.43,210635.6
Calendar,2015,1,Public Protection,SHF,Sheriff,498.0,Deputy Sheriffs' Association,8300,Correction & Detention,8304,Deputy Sheriff,26118,2604.7,0.0,5317.31,7922.01,649.38,334.51,121.77,1105.66,9027.67
Calendar,2015,4,Community Health,DPH,Public Health,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",2500,Med Therapy & Auxiliary,2548,Occupational Therapist,17450,31869.26,0.0,0.0,31869.26,0.0,4082.76,2471.66,6554.42,38423.68
Calendar,2015,4,Community Health,DPH,Public Health,250.0,"SEIU - Health Workers, Local 1021",2300,Nursing,2302,Nursing Assistant,20036,70245.0,405.15,2938.9,73589.05,14606.45,12424.5,6026.19,33057.14,106646.19
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,535.0,"SEIU - Human Services, Local 1021",2900,Human Services,2905,Senior Eligibility Worker,4855,77071.02,0.0,624.0,77695.02,16013.39,12424.5,6442.27,34880.16,112575.18
Calendar,2015,1,Public Protection,SHF,Sheriff,498.0,Deputy Sheriffs' Association,8300,Correction & Detention,8304,Deputy Sheriff,6068,97764.62,2490.17,9932.15,110186.94,26194.68,12424.5,1864.55,40483.73,150670.67
Calendar,2015,1,Public Protection,FIR,Fire Department,798.0,"Firefighters - Miscellaneous, Local 798",H000,Fire Services,H002,Firefighter,50673,112266.93,19870.69,11541.8,143679.42,23369.64,15065.79,2437.48,40872.91,184552.33
Calendar,2015,4,Community Health,DPH,Public Health,790.0,"SEIU - Miscellaneous, Local 1021",2300,Nursing,2314,Public Health Team Leader,29273,79551.0,0.0,2960.4,82511.4,16524.65,12424.5,6769.76,35718.91,118230.31
Calendar,2015,5,Culture & Recreation,REC,Recreation and Park Commission,790.0,"SEIU - Miscellaneous, Local 1021",3300,Park & Zoo,3302,Admission Attendant,34192,8629.69,0.0,0.0,8629.69,0.0,2717.86,668.97,3386.83,12016.52
Calendar,2015,1,Public Protection,FIR,Fire Department,798.0,"Firefighters - Miscellaneous, Local 798",H000,Fire Services,H003,EMT/Paramedic/Firefighter,44105,129604.97,58685.67,16200.57,204491.21,28683.63,15052.76,3433.65,47170.04,251661.25
Calendar,2015,1,Public Protection,SHF,Sheriff,498.0,Deputy Sheriffs' Association,8300,Correction & Detention,8504,Deputy Sheriff (SFERS),37434,85035.59,35543.72,4865.52,125444.83,18374.88,12424.51,2095.98,32895.37,158340.2
Calendar,2015,4,Community Health,DPH,Public Health,250.0,"SEIU - Health Workers, Local 1021",2300,Nursing,2303,Patient Care Assistant,12652,70245.0,12057.18,10693.67,92995.85,15828.85,12424.5,7605.6,35858.95,128854.8
Calendar,2015,2,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,790.0,"SEIU - Miscellaneous, Local 1021",1800,"Budget, Admn & Stats Analysis",1820,Junior Administrative Analyst,33288,26091.21,0.0,0.0,26091.21,5737.44,5877.76,2073.52,13688.72,39779.93
Calendar,2015,4,Community Health,DPH,Public Health,250.0,"SEIU - Health Workers, Local 1021",2600,Dietary & Food,2604,Food Service Worker,22854,15720.0,0.0,4180.36,19900.36,4143.31,3822.92,1614.88,9581.11,29481.47
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,200.0,"Transportation Workers, Local 200",9100,Street Transit,9139,Transit Supervisor,10148,81954.3,20768.75,3746.59,106469.64,17523.1,12424.5,8614.06,38561.66,145031.3
Calendar,2015,2,"Public Works, Transportation & Commerce",PUC,PUC Public Utilities Commission,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",5200,Professional Engineering,5207,Assoc Engineer,171,116976.03,0.0,0.0,116976.03,23541.49,12424.5,9491.81,45457.8,162433.83
Calendar,2015,4,Community Health,DPH,Public Health,791.0,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,2320,Registered Nurse,34962,70909.42,0.0,250.0,71159.42,13075.41,6089.2,5553.54,24718.15,95877.57
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,351.0,Municipal Executive Association - Miscellaneous,0900,Management,0931,Manager III,51277,132861.69,0.0,0.0,132861.69,26694.02,12424.5,27439.78,66558.3,199419.99
Calendar,2015,4,Community Health,DPH,Public Health,791.0,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,P103,Special Nurse,18463,9835.18,0.0,299.81,10134.99,1995.25,764.65,540.17,3300.07,13435.06
Calendar,2015,2,"Public Works, Transportation & Commerce",DBI,Department of Building Inspection,790.0,"SEIU - Miscellaneous, Local 1021",1600,"Payroll, Billing & Accounting",1632,Senior Account Clerk,27673,67261.0,0.0,0.0,67261.0,13862.82,12424.5,5289.05,31576.37,98837.37
Calendar,2015,1,Public Protection,SHF,Sheriff,790.0,"SEIU - Miscellaneous, Local 1021",8300,Correction & Detention,8300,Sheriff's Cadet,33020,43415.22,1322.37,6129.44,50867.03,11370.99,12329.52,4110.1,27810.61,78677.64
Calendar,2015,4,Community Health,DPH,Public Health,250.0,"SEIU - Health Workers, Local 1021",2300,Nursing,2312,Licensed Vocational Nurse,3758,63857.83,0.0,410.63,64268.46,13174.63,12446.91,5047.28,30668.82,94937.28
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,200.0,"Transportation Workers, Local 200",9100,Street Transit,9139,Transit Supervisor,18330,77309.2,8367.98,9813.29,95490.47,17370.15,12567.87,7576.83,37514.85,133005.32
Calendar,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",5300,Sub-Professional Engineering,5380,"Stdntdsgntrain1, Arch/Eng/Plng",32793,20521.56,0.0,0.0,20521.56,0.0,4886.17,1616.34,6502.51,27024.07
Calendar,2015,5,Culture & Recreation,LIB,Public Library,790.0,"SEIU - Miscellaneous, Local 1021",3600,Library,3602,Library Page,11393,36731.49,0.0,63.53,36795.02,8803.96,9085.42,2256.68,20146.06,56941.08
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790.0,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8214,Parking Control Officer,39612,20294.22,0.0,1584.12,21878.34,4813.88,4076.61,1834.1,10724.59,32602.93
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,535.0,"SEIU - Human Services, Local 1021",2900,Human Services,2944,Protective Services Supervisor,18436,59569.03,3452.07,3111.03,66132.13,11661.01,6690.11,5288.53,23639.65,89771.78
Calendar,2015,4,Community Health,DPH,Public Health,250.0,"SEIU - Health Workers, Local 1021",2300,Nursing,2302,Nursing Assistant,33009,66567.79,743.18,10448.28,77759.25,15015.41,11771.02,6400.72,33187.15,110946.4
Calendar,2015,4,Community Health,DPH,Public Health,250.0,"SEIU - Health Workers, Local 1021",2700,Housekeeping & Laundry,2736,Porter,19403,56531.0,0.0,4623.95,61154.95,12602.97,12424.5,4801.9,29829.37,90984.32
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",5200,Professional Engineering,5288,Transit Planner 2,7733,82204.02,0.0,0.0,82204.02,16988.56,12424.5,6615.17,36028.23,118232.25
Calendar,2015,4,Community Health,DPH,Public Health,790.0,"SEIU - Miscellaneous, Local 1021",1400,"Clerical, Secretarial & Steno",1404,Clerk,36797,53930.03,0.0,621.75,54551.78,12199.63,12379.7,4522.01,29101.34,83653.12
Calendar,2015,4,Community Health,DPH,Public Health,790.0,"SEIU - Miscellaneous, Local 1021",2500,Med Therapy & Auxiliary,2586,Health Worker 2,16060,56303.97,5052.19,2291.0,63647.16,11666.31,11612.85,5103.37,28382.53,92029.69
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253.0,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,44841,23656.42,2814.26,970.11,27440.79,6074.59,7349.69,2092.5,15516.78,42957.57
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253.0,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,15499,18102.93,1691.77,710.15,20504.85,5214.16,5714.44,1521.74,12450.34,32955.19
Calendar,2015,2,"Public Works, Transportation & Commerce",PRT,Port,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",5300,Sub-Professional Engineering,5314,Survey Associate,41094,97669.1,0.0,0.0,97669.1,20130.42,12424.5,7989.43,40544.35,138213.45
Calendar,2015,6,General Administration & Finance,ADM,General Services Agency - City Admin,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",1800,"Budget, Admn & Stats Analysis",1824,Pr Administrative Analyst,2243,86032.01,0.0,0.0,86032.01,17528.65,10990.9,6559.45,35079.0,121111.01
Calendar,2015,4,Community Health,DPH,Public Health,790.0,"SEIU - Miscellaneous, Local 1021",2500,Med Therapy & Auxiliary,2586,Health Worker 2,47411,59616.23,155.14,4568.52,64339.89,13016.0,12055.77,5309.11,30380.88,94720.77
Calendar,2015,1,Public Protection,PDR,Public Defender,311.0,Municipal Attorneys' Association,8100,Legal & Court,8193,Chief Atty1 (Civil & Criminal),38925,220560.03,0.0,1500.0,222060.03,44688.27,12424.5,11537.53,68650.3,290710.33
Calendar,2015,1,Public Protection,SHF,Sheriff,790.0,"SEIU - Miscellaneous, Local 1021",8300,Correction & Detention,8300,Sheriff's Cadet,7425,32396.54,0.0,2226.3,34622.84,8327.4,9228.36,2768.39,20324.15,54946.99
Calendar,2015,5,Culture & Recreation,LIB,Public Library,790.0,"SEIU - Miscellaneous, Local 1021",2700,Housekeeping & Laundry,2716,Custodial Assistant Supervisor,23681,62187.0,3824.65,3257.41,69269.06,13499.27,12424.5,5717.86,31641.63,100910.69
Calendar,2015,5,Culture & Recreation,REC,Recreation and Park Commission,261.0,"Laborers, Local 261",3400,Agriculture & Horticulture,3422,Park Section Supervisor,1942,80357.0,2476.8,0.0,82833.8,16562.14,12424.5,6842.98,35829.62,118663.42
Calendar,2015,1,Public Protection,POL,Police,911.0,Police Officers' Association,Q000,Police Services,Q004,Police Officer 3,2409,119463.83,0.0,5044.12,124507.95,22812.68,12424.5,947.48,36184.66,160692.61
Calendar,2015,1,Public Protection,FIR,Fire Department,798.0,"Firefighters - Miscellaneous, Local 798",H000,Fire Services,H004,"Insp, Fire Dept",12836,15672.0,0.0,940.32,16612.32,2932.08,1433.6,283.65,4649.33,21261.65
Calendar,2015,4,Community Health,DPH,Public Health,790.0,"SEIU - Miscellaneous, Local 1021",2900,Human Services,2930,Psychiatric Social Worker,23738,93281.03,0.0,2024.0,95305.03,19642.61,12424.5,7832.9,39900.01,135205.04
