Organization Group,Department,Job Family,Job,Salary,Overtime,Benefits,Total Compensation
Public Protection,Adult Probation,Human Services,Program Support Analyst,97554.0,0.0,39906.0,137460.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,0.0,0.0,0.0,0.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,0.0,27.0,0.0,27.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,5634.0,0.0,1999.0,7633.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,1.0,0.0,0.0,1.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,25909.0,0.0,9641.0,35551.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,52433.0,0.0,14388.0,66821.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,113556.0,30726.0,54547.0,198829.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,68638.0,516.0,33102.0,102256.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,102190.0,0.0,50084.0,152274.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,113556.0,0.0,52411.0,165967.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,100998.0,0.0,48147.0,149145.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,113556.0,947.0,54054.0,168557.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,93744.0,482.0,45973.0,140199.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,71792.0,0.0,34897.0,106690.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,113414.0,0.0,53918.0,167332.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,113556.0,162.0,54050.0,167768.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,113556.0,5873.0,54094.0,173523.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,113556.0,0.0,53873.0,167429.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,113556.0,131.0,54032.0,167719.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,39435.0,58.0,18272.0,57765.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,83255.0,0.0,30313.0,113568.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,113556.0,7061.0,54293.0,174910.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,113976.0,5726.0,54282.0,173984.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,58921.0,14.0,27633.0,86568.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,113556.0,0.0,53994.0,167550.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,113788.0,0.0,54122.0,167910.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,99548.0,4342.0,48891.0,152781.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,113556.0,0.0,54039.0,167595.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,113938.0,5529.0,54263.0,173730.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,113556.0,204.0,54038.0,167797.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,112618.0,1751.0,53741.0,168110.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,56639.0,0.0,27811.0,84450.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,114276.0,1664.0,54280.0,170220.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,113556.0,0.0,53994.0,167550.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,111739.0,541.0,52936.0,165216.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,113556.0,1575.0,54159.0,169290.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,113674.0,881.0,54077.0,168633.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,113778.0,5791.0,54168.0,173736.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,83590.0,5961.0,44783.0,134335.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,104654.0,1584.0,50997.0,157235.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,104358.0,0.0,50823.0,155181.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,17748.0,0.0,8765.0,26513.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,113756.0,7786.0,54206.0,175748.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,107324.0,8535.0,51983.0,167842.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,114259.0,7020.0,54412.0,175691.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer,108770.0,4308.0,51898.0,164976.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,0.0,128.0,2.0,130.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,0.0,76.0,1.0,77.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,0.0,178.0,3.0,181.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,0.0,192.0,3.0,195.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,105680.0,2227.0,37227.0,145134.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,101385.0,105.0,36671.0,138160.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,83310.0,664.0,32843.0,116816.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,97865.0,3972.0,36024.0,137862.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,91987.0,0.0,34710.0,126697.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,86697.0,886.0,32243.0,119826.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,79052.0,68.0,31916.0,111036.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,73808.0,274.0,30791.0,104874.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,96058.0,0.0,35664.0,131721.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,79933.0,2205.0,32241.0,114378.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,62173.0,410.0,31368.0,93951.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,27086.0,410.0,11768.0,39264.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,33140.0,497.0,13179.0,46816.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,62158.0,410.0,31758.0,94327.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,31605.0,0.0,13103.0,44708.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,30096.0,410.0,13074.0,43580.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,30096.0,410.0,13077.0,43583.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,30096.0,410.0,13075.0,43582.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,36454.0,0.0,14508.0,50962.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,30096.0,410.0,13077.0,43583.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,30028.0,410.0,13044.0,43482.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,55909.0,0.0,20029.0,75938.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,44822.0,116.0,18324.0,63262.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,104727.0,183.0,37482.0,142392.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,69088.0,2125.0,29352.0,100565.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,71213.0,2221.0,30246.0,103680.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,71933.0,1865.0,30351.0,104149.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,71933.0,72.0,30371.0,102376.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,71213.0,1368.0,30237.0,102818.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,86273.0,2069.0,33499.0,121842.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,81836.0,8408.0,32608.0,122852.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,86273.0,628.0,33486.0,120387.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,182093.0,12276.0,53120.0,247490.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,95498.0,4.0,35427.0,130928.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,94778.0,0.0,35330.0,130108.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,92120.0,1116.0,34350.0,127587.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,94778.0,2.0,35305.0,130085.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,57950.0,1208.0,21640.0,80798.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,81794.0,0.0,36292.0,118086.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,94963.0,4337.0,35412.0,134712.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,74546.0,0.0,30935.0,105481.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,78220.0,4537.0,31798.0,114554.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,74546.0,269.0,30921.0,105736.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,86110.0,4163.0,33507.0,123780.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,74546.0,1332.0,30957.0,106835.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,74546.0,2324.0,30974.0,107844.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,77384.0,2652.0,32243.0,112279.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,74546.0,254.0,30886.0,105686.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,78293.0,75.0,31738.0,110106.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,74546.0,0.0,30881.0,105427.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,70660.0,91.0,29268.0,100019.0
Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,89212.0,127.0,34103.0,123442.0
Public Protection,Adult Probation,"Clerical, Secretarial & Steno",Clerk,61628.0,0.0,34447.0,96075.0
Public Protection,Adult Probation,"Clerical, Secretarial & Steno",Principal Clerk,76687.0,0.0,35426.0,112113.0
Public Protection,Adult Probation,"Clerical, Secretarial & Steno",Principal Clerk,84404.0,0.0,38466.0,122870.0
Public Protection,Adult Probation,"Clerical, Secretarial & Steno",Chief Clerk,37400.0,0.0,16262.0,53662.0
Public Protection,Adult Probation,"Clerical, Secretarial & Steno",Clerk Typist,66012.0,0.0,33620.0,99632.0
Public Protection,Adult Probation,"Clerical, Secretarial & Steno",Clerk Typist,60518.0,0.0,31271.0,91789.0
Public Protection,Adult Probation,"Clerical, Secretarial & Steno",Clerk Typist,66012.0,30.0,33634.0,99677.0
Public Protection,Adult Probation,"Clerical, Secretarial & Steno",Clerk Typist,54151.0,0.0,27778.0,81929.0
Public Protection,Adult Probation,"Payroll, Billing & Accounting",Sr Payroll & Personnel Clerk,79033.0,0.0,22252.0,101285.0
Public Protection,Adult Probation,"Payroll, Billing & Accounting",Senior Account Clerk,7527.0,0.0,598.0,8125.0
Public Protection,Adult Probation,"Payroll, Billing & Accounting",Senior Account Clerk,41494.0,0.0,21564.0,63058.0
Public Protection,Adult Probation,Probation & Parole,Probation Assistant,68749.0,621.0,33767.0,103137.0
Public Protection,Adult Probation,Probation & Parole,Probation Assistant,68770.0,0.0,34210.0,102980.0
Public Protection,Adult Probation,Probation & Parole,Probation Assistant,58553.0,0.0,33504.0,92057.0
Public Protection,Adult Probation,Probation & Parole,Probation Assistant,59420.0,0.0,33769.0,93189.0
Public Protection,Adult Probation,Probation & Parole,Probation Assistant,58350.0,0.0,33391.0,91741.0
Public Protection,Adult Probation,Probation & Parole,Probation Assistant,65319.0,0.0,33132.0,98451.0
Public Protection,Adult Probation,Probation & Parole,Probation Assistant,52296.0,0.0,16515.0,68811.0
Public Protection,Adult Probation,Probation & Parole,Probation Assistant,52296.0,0.0,30385.0,82681.0
Public Protection,Adult Probation,Probation & Parole,Probation Assistant,64137.0,0.0,33940.0,98078.0
Public Protection,Adult Probation,Probation & Parole,Probation Assistant,71598.0,793.0,30627.0,103018.0
Public Protection,Adult Probation,Probation & Parole,Probation Assistant,61920.0,0.0,33571.0,95491.0
Public Protection,Adult Probation,Probation & Parole,Probation Assistant,6633.0,0.0,3863.0,10496.0
Public Protection,Adult Probation,Probation & Parole,Probation Assistant,57034.0,0.0,33014.0,90048.0
Public Protection,Adult Probation,Probation & Parole,Probation Assistant,55721.0,0.0,30600.0,86321.0
Public Protection,Adult Probation,Probation & Parole,Probation Assistant,59535.0,0.0,33663.0,93198.0
Public Protection,Adult Probation,Probation & Parole,Probation Assistant,59535.0,0.0,33806.0,93341.0
Public Protection,Adult Probation,Community Development,Sr. Community Devl Spc 1,98114.0,0.0,42534.0,140648.0
Public Protection,Adult Probation,Community Development,Sr. Community Devl Spc 1,35150.0,0.0,15879.0,51029.0
Public Protection,Adult Probation,Community Development,Sr. Community Devl Spc 1,96296.0,0.0,42101.0,138397.0
Public Protection,Adult Probation,Community Development,Sr Community Dev Spec 2,128965.0,0.0,50482.0,179447.0
Public Protection,Adult Probation,Public Service Aide,Publ Svc Aide-Asst to Prof,7811.0,0.0,606.0,8417.0
Public Protection,Adult Probation,Public Service Aide,Publ Svc Aide-Asst to Prof,9676.0,0.0,751.0,10427.0
Public Protection,Adult Probation,Public Service Aide,Publ Svc Aide-Asst to Prof,9104.0,0.0,707.0,9810.0
Public Protection,Adult Probation,Public Service Aide,Publ Svc Aide-Asst to Prof,9125.0,0.0,708.0,9833.0
Public Protection,Adult Probation,Public Service Aide,Publ Svc Aide-Asst to Prof,20447.0,0.0,1587.0,22034.0
Public Protection,Adult Probation,Public Service Aide,Publ Svc Aide-Asst to Prof,20447.0,0.0,1587.0,22034.0
Public Protection,Adult Probation,Public Service Aide,Publ Svc Aide-Asst to Prof,11409.0,0.0,885.0,12294.0
Public Protection,Adult Probation,Public Service Aide,Publ Svc Aide-Asst to Prof,7905.0,0.0,614.0,8519.0
Public Protection,Adult Probation,Public Service Aide,Publ Svc Aide-Asst to Prof,11804.0,0.0,916.0,12720.0
Public Protection,Adult Probation,Public Service Aide,Publ Svc Aide-Asst to Prof,1177.0,0.0,91.0,1269.0
Public Protection,Adult Probation,Public Service Aide,Publ Svc Aide-Asst to Prof,3375.0,0.0,262.0,3636.0
Public Protection,Adult Probation,Public Service Aide,Publ Svc Aide-Asst to Prof,2817.0,0.0,219.0,3036.0
Public Protection,Adult Probation,Probation & Parole,Sprv Adult Probation Ofc,5294.0,0.0,0.0,5294.0
Public Protection,Adult Probation,Probation & Parole,Sprv Adult Probation Ofc,125121.0,323.0,60335.0,185779.0
Public Protection,Adult Probation,Probation & Parole,Sprv Adult Probation Ofc,125121.0,3.0,60329.0,185453.0
Public Protection,Adult Probation,Probation & Parole,Sprv Adult Probation Ofc,126606.0,0.0,59087.0,185693.0
Public Protection,Adult Probation,Probation & Parole,Sprv Adult Probation Ofc,126606.0,0.0,60900.0,187506.0
Public Protection,Adult Probation,Probation & Parole,Sprv Adult Probation Ofc,122487.0,4.0,59101.0,181591.0
Public Protection,Adult Probation,Probation & Parole,Sprv Adult Probation Ofc,125121.0,0.0,60360.0,185481.0
Public Protection,Adult Probation,Probation & Parole,Sprv Adult Probation Ofc,126606.0,0.0,60865.0,187471.0
Public Protection,Adult Probation,Probation & Parole,Sprv Adult Probation Ofc,125121.0,242.0,60414.0,185777.0
Public Protection,Adult Probation,Probation & Parole,Sprv Adult Probation Ofc,126606.0,0.0,60896.0,187502.0
Public Protection,Adult Probation,Probation & Parole,Sprv Adult Probation Ofc,126606.0,0.0,60824.0,187430.0
Public Protection,Adult Probation,Probation & Parole,Sprv Adult Probation Ofc,126606.0,0.0,60897.0,187503.0
Public Protection,Adult Probation,Probation & Parole,Sprv Adult Probation Ofc,126606.0,2.0,60877.0,187485.0
Public Protection,Adult Probation,Probation & Parole,Sprv Adult Probation Ofc,126606.0,0.0,60869.0,187475.0
Public Protection,Adult Probation,Probation & Parole,Sprv Adult Probation Ofc,126606.0,0.0,60896.0,187502.0
Public Protection,Adult Probation,Probation & Parole,Sprv Adult Probation Ofc,126606.0,0.0,60884.0,187490.0
Public Protection,Adult Probation,Probation & Parole,Sprv Adult Probation Ofc,126742.0,0.0,60845.0,187587.0
Public Protection,Adult Probation,Probation & Parole,Sprv Adult Prob Ofc (SFERS),125121.0,1533.0,43992.0,170646.0
Public Protection,Trial Courts,Untitled,"Court Invstgtor, Superior Crt",109725.0,0.0,48302.0,158027.0
Public Protection,Trial Courts,Untitled,"Court Invstgtor, Superior Crt",109734.0,0.0,49173.0,158907.0
Public Protection,Trial Courts,Untitled,"Court Invstgtor, Superior Crt",107093.0,0.0,48465.0,155559.0
Public Protection,Trial Courts,Untitled,"Court Invstgtor, Superior Crt",108967.0,0.0,48910.0,157877.0
Public Protection,Trial Courts,Untitled,"Court Invstgtor, Superior Crt",105337.0,0.0,47551.0,152888.0
Public Protection,Trial Courts,Untitled,"Court Invstgtor, Superior Crt",101481.0,0.0,44913.0,146394.0
Public Protection,Trial Courts,Untitled,Probate Examiner,107666.0,0.0,48519.0,156185.0
Public Protection,Trial Courts,Untitled,Probate Examiner,109100.0,0.0,48168.0,157268.0
Public Protection,Trial Courts,Untitled,Probate Examiner,85452.0,0.0,34064.0,119516.0
Public Protection,Trial Courts,Untitled,Probate Examiner,95252.0,0.0,44617.0,139869.0
Public Protection,Trial Courts,Untitled,"Counselor, Family Court Svc",114873.0,0.0,50613.0,165486.0
Public Protection,Trial Courts,Untitled,"Counselor, Family Court Svc",113044.0,0.0,50129.0,163173.0
Public Protection,Trial Courts,Untitled,"Counselor, Family Court Svc",114219.0,0.0,50340.0,164559.0
Public Protection,Trial Courts,Untitled,"Counselor, Family Court Svc",113533.0,0.0,49998.0,163530.0
Public Protection,Trial Courts,Untitled,"Counselor, Family Court Svc",108892.0,0.0,48884.0,157776.0
Public Protection,Trial Courts,Untitled,"Counselor, Family Court Svc",114294.0,0.0,50895.0,165189.0
Public Protection,Trial Courts,Untitled,"Research Asst, Superior Court",30282.0,0.0,15532.0,45814.0
Public Protection,Trial Courts,Untitled,"Research Asst, Superior Court",78704.0,0.0,40485.0,119189.0
Public Protection,Trial Courts,Untitled,"Research Asst, Superior Court",21705.0,0.0,6927.0,28632.0
Public Protection,Trial Courts,Untitled,"Research Asst, Superior Court",21756.0,0.0,6961.0,28717.0
Public Protection,Trial Courts,Untitled,"Research Asst, Superior Court",21756.0,0.0,6929.0,28685.0
Public Protection,Trial Courts,Untitled,"Research Asst, Superior Court",21521.0,0.0,1757.0,23278.0
Public Protection,Trial Courts,Untitled,"Research Asst, Superior Court",21756.0,0.0,6965.0,28721.0
Public Protection,Trial Courts,Untitled,"Research Asst, Superior Court",21646.0,0.0,6930.0,28575.0
Public Protection,Trial Courts,Untitled,"Research Asst, Superior Court",21756.0,0.0,6963.0,28719.0
Public Protection,Trial Courts,Untitled,"Research Asst, Superior Court",21521.0,0.0,6890.0,28411.0
Public Protection,Trial Courts,Untitled,"Research Asst, Superior Court",21756.0,0.0,6899.0,28655.0
Public Protection,Trial Courts,Untitled,"Research Asst, Superior Court",54390.0,0.0,24670.0,79060.0
Public Protection,Trial Courts,Untitled,"Research Asst, Superior Court",54096.0,0.0,24616.0,78712.0
Public Protection,Trial Courts,Untitled,"Research Asst, Superior Court",54390.0,0.0,24766.0,79156.0
Public Protection,Trial Courts,Untitled,"Research Asst, Superior Court",54390.0,0.0,24766.0,79156.0
Public Protection,Trial Courts,Untitled,"Research Asst, Superior Court",54390.0,0.0,24766.0,79156.0
Public Protection,Trial Courts,Untitled,"Research Asst, Superior Court",62639.0,0.0,28755.0,91394.0
Public Protection,Trial Courts,Untitled,"Research Asst, Superior Court",80383.0,0.0,40738.0,121121.0
Public Protection,Trial Courts,Untitled,"Research Asst, Superior Court",58790.0,0.0,28994.0,87784.0
Public Protection,Trial Courts,Untitled,"Research Asst, Superior Court",64982.0,0.0,28164.0,93146.0
Public Protection,Trial Courts,Untitled,Ct Comp App Analyst,101688.0,0.0,46958.0,148646.0
Public Protection,Trial Courts,Untitled,Ct Comp App Analyst,101688.0,0.0,46958.0,148646.0
Public Protection,Trial Courts,Untitled,Ct Comp App Analyst,98399.0,0.0,43650.0,142049.0
Public Protection,Trial Courts,Untitled,Ct Comp App Analyst,113542.0,0.0,50121.0,163663.0
Public Protection,Trial Courts,Untitled,Ct Comp App Programmer,127438.0,0.0,52915.0,180353.0
Public Protection,Trial Courts,Untitled,Ct Comp Facilities Coord,9807.0,0.0,777.0,10583.0
Public Protection,Trial Courts,Untitled,Ct Comp Facilities Coord,128522.0,0.0,53914.0,182436.0
Public Protection,Trial Courts,Untitled,Ct Comp Facilities Coord,42589.0,0.0,3373.0,45962.0
Public Protection,Trial Courts,Untitled,Ct Comp Facilities Coord,130754.0,0.0,54399.0,185153.0
Public Protection,Trial Courts,Untitled,Ct Comp Facilities Coord,130873.0,0.0,54494.0,185368.0
Public Protection,Trial Courts,Untitled,Ct Comp Facilities Coord,100580.0,0.0,41642.0,142222.0
Public Protection,Trial Courts,Untitled,Administrative Analyst II,88764.0,0.0,43230.0,131994.0
Public Protection,Trial Courts,Untitled,Administrative Analyst II,71981.0,0.0,31311.0,103292.0
Public Protection,Trial Courts,Untitled,Administrative Analyst II,35505.0,0.0,17662.0,53167.0
Public Protection,Trial Courts,Untitled,Court Training Specialist,103286.0,0.0,47109.0,150394.0
Public Protection,Trial Courts,Untitled,Court Training Specialist,103064.0,0.0,47260.0,150324.0
Public Protection,Trial Courts,Untitled,Personnel/Payroll Repres,91442.0,0.0,43967.0,135409.0
Public Protection,Trial Courts,Untitled,Personnel/Payroll Repres,90818.0,0.0,43887.0,134705.0
Public Protection,Trial Courts,Untitled,Principl Personnel Payroll Rep,97856.0,405.0,45684.0,143946.0
Public Protection,Trial Courts,Untitled,Court Staff Attorney I,25333.0,0.0,10007.0,35340.0
Public Protection,Trial Courts,Untitled,Court Staff Attorney I,2680.0,0.0,773.0,3453.0
Public Protection,Trial Courts,Untitled,Court Staff Attorney II,125684.0,0.0,55853.0,181537.0
Public Protection,Trial Courts,Untitled,Court Staff Attorney II,125684.0,0.0,55967.0,181651.0
Public Protection,Trial Courts,Untitled,Court Staff Attorney II,0.0,0.0,1188.0,1188.0
Public Protection,Trial Courts,Untitled,Court Staff Attorney II,125699.0,0.0,56107.0,181806.0
Public Protection,Trial Courts,Untitled,Court Staff Attorney II,129870.0,0.0,56376.0,186246.0
Public Protection,Trial Courts,Untitled,Court Staff Attorney II,127465.0,0.0,53591.0,181056.0
Public Protection,Trial Courts,Untitled,Court Staff Attorney II,89261.0,0.0,37414.0,126675.0
Public Protection,Trial Courts,Untitled,Court Staff Attorney II,18577.0,0.0,1471.0,20049.0
Public Protection,Trial Courts,Untitled,Court Staff Attorney II,82683.0,0.0,35359.0,118042.0
Public Protection,Trial Courts,Untitled,Court Staff Attorney II,112455.0,0.0,52372.0,164827.0
Public Protection,Trial Courts,Untitled,Court Staff Attorney II,124329.0,0.0,52705.0,177034.0
Public Protection,Trial Courts,Untitled,Court Staff Attorney II,76203.0,0.0,33862.0,110065.0
Public Protection,Trial Courts,Untitled,Court Staff Attorney II,84986.0,0.0,22089.0,107076.0
Public Protection,Trial Courts,Untitled,Court Staff Attorney II,79744.0,0.0,38983.0,118726.0
Public Protection,Trial Courts,Untitled,Court Staff Attorney II,119595.0,0.0,53118.0,172713.0
Public Protection,Trial Courts,Untitled,Court Staff Attorney II,57720.0,0.0,26090.0,83810.0
Public Protection,Trial Courts,Untitled,Court Staff Attorney II,89933.0,0.0,40098.0,130031.0
Public Protection,Trial Courts,Untitled,Court Staff Attorney II,102136.0,0.0,45437.0,147573.0
